Train Epoch: 1 	 Clean_accuracy: 26.882751
Train Epoch: 2 	 Clean_accuracy: 37.846769
Train Epoch: 3 	 Clean_accuracy: 45.273743
Train Epoch: 4 	 Clean_accuracy: 52.105091
Train Epoch: 5 	 Clean_accuracy: 57.977725
Train Epoch: 6 	 Clean_accuracy: 50.458959
Train Epoch: 7 	 Clean_accuracy: 54.218342
Train Epoch: 8 	 Clean_accuracy: 55.152578
Train Epoch: 9 	 Clean_accuracy: 56.668163
Train Epoch: 10 	 Clean_accuracy: 56.213283
Train Epoch: 11 	 Clean_accuracy: 57.669713
Train Epoch: 12 	 Clean_accuracy: 58.512157
Train Epoch: 13 	 Clean_accuracy: 59.150620
Train Epoch: 14 	 Clean_accuracy: 59.988985
Train Epoch: 15 	 Clean_accuracy: 60.688642
Train Epoch: 16 	 Clean_accuracy: 61.386260
Train Epoch: 17 	 Clean_accuracy: 62.053280
Train Epoch: 18 	 Clean_accuracy: 62.732539
Train Epoch: 19 	 Clean_accuracy: 63.358763
Train Epoch: 20 	 Clean_accuracy: 64.103296
Train Epoch: 21 	 Clean_accuracy: 64.295039
Train Epoch: 22 	 Clean_accuracy: 64.676485
Train Epoch: 23 	 Clean_accuracy: 65.023254
Train Epoch: 24 	 Clean_accuracy: 65.084448
Train Epoch: 25 	 Clean_accuracy: 65.667836
Train Epoch: 26 	 Clean_accuracy: 65.751469
Train Epoch: 27 	 Clean_accuracy: 66.430728
Train Epoch: 29 	 Clean_accuracy: 66.889687
