Train Epoch: 1 	 PGD_10_accuracy: 15.763708
Train Epoch: 2 	 PGD_10_accuracy: 24.600196
Train Epoch: 3 	 PGD_10_accuracy: 27.482458
Train Epoch: 4 	 PGD_10_accuracy: 30.150539
Train Epoch: 5 	 PGD_10_accuracy: 32.755385
Train Epoch: 6 	 PGD_10_accuracy: 35.415307
Train Epoch: 7 	 PGD_10_accuracy: 38.456674
Train Epoch: 8 	 PGD_10_accuracy: 39.749918
Train Epoch: 9 	 PGD_10_accuracy: 40.918734
Train Epoch: 10 	 PGD_10_accuracy: 41.134954
Train Epoch: 11 	 PGD_10_accuracy: 42.283371
Train Epoch: 12 	 PGD_10_accuracy: 43.174772
Train Epoch: 13 	 PGD_10_accuracy: 43.539899
Train Epoch: 14 	 PGD_10_accuracy: 44.486374
Train Epoch: 15 	 PGD_10_accuracy: 45.318619
Train Epoch: 16 	 PGD_10_accuracy: 45.855091
Train Epoch: 17 	 PGD_10_accuracy: 46.536390
Train Epoch: 18 	 PGD_10_accuracy: 47.207490
Train Epoch: 19 	 PGD_10_accuracy: 48.088691
Train Epoch: 20 	 PGD_10_accuracy: 48.302872
Train Epoch: 21 	 PGD_10_accuracy: 49.051485
Train Epoch: 22 	 PGD_10_accuracy: 49.245268
Train Epoch: 23 	 PGD_10_accuracy: 49.902089
Train Epoch: 24 	 PGD_10_accuracy: 49.869452
Train Epoch: 25 	 PGD_10_accuracy: 50.197862
Train Epoch: 26 	 PGD_10_accuracy: 50.224380
Train Epoch: 27 	 PGD_10_accuracy: 51.036227
Train Epoch: 29 	 PGD_10_accuracy: 48.164164
